Time (ps),Energy
1.0,-20.0
2.0,-20.0
3.0,-20.0
4.0,-20.0
5.0,-20.0
6.0,-20.0
7.0,-20.0
8.0,-20.0
9.0,-20.0
10.0,-20.0
11.0,-20.0
12.0,-20.0
13.0,-20.0
14.0,-20.0
15.0,-20.0
16.0,-20.0
17.0,-20.0
18.0,-20.0
19.0,-20.0
20.0,-20.0
21.0,-20.0
22.0,-20.0
22.999999999999996,-20.0
24.0,-20.0
25.0,-20.0
26.0,-20.0
27.0,-20.0
28.0,-20.0
29.0,-20.0
30.0,-20.0
30.999999999999996,-20.0
32.0,-20.0
33.0,-20.0
34.0,-20.0
35.0,-20.0
36.0,-20.0
37.0,-20.0
38.0,-20.0
39.0,-20.0
40.0,-20.0
41.0,-20.0
42.0,-20.0
43.0,-20.0
44.0,-20.0
45.0,-20.0
45.99999999999999,-20.0
47.0,-20.0
48.0,-20.0
49.0,-20.0
50.0,-20.0
51.0,-20.0
52.0,-20.0
53.0,-20.0
54.0,-20.0
55.0,-20.0
56.0,-20.0
57.0,-20.0
58.0,-20.0
59.0,-20.0
60.0,-20.0
60.99999999999999,-20.0
61.99999999999999,-20.0
63.0,-20.0
64.0,-20.0
65.0,-20.0
66.0,-20.0
67.0,-20.0
68.0,-20.0
69.0,-20.0
70.0,-20.0
71.0,-20.0
72.0,-20.0
73.0,-20.0
74.0,-20.0
75.0,-20.0
76.0,-20.0
76.99999999999999,-20.0
78.0,-20.0
79.0,-20.0
80.0,-20.0
81.0,-20.0
82.0,-20.0
83.0,-20.0
84.0,-20.0
85.0,-20.0
86.0,-20.0
87.0,-20.0
88.0,-20.0
89.0,-20.0
90.0,-20.0
91.0,-20.0
91.99999999999999,-20.0
93.0,-20.0
94.0,-20.0
95.0,-20.0
96.0,-20.0
97.0,-20.0
98.0,-20.0
99.0,-20.0
100.0,-20.0
101.0,-20.0
102.0,-20.0
103.0,-20.0
104.0,-20.0
105.0,-20.0
106.0,-20.0
106.99999999999999,-20.0
108.0,-20.0
109.0,-20.0
110.0,-20.0
110.99999999999999,-20.0
112.0,-20.0
113.0,-20.0
114.0,-20.0
115.0,-20.0
116.0,-20.0
117.00000000000001,-20.0
118.0,-20.0
119.0,-20.0
120.0,-20.0
121.0,-20.0
121.99999999999999,-20.0
122.99999999999999,-20.0
123.99999999999999,-20.0
125.00000000000001,-20.0
126.0,-20.0
127.0,-20.0
128.0,-20.0
129.0,-20.0
130.0,-20.0
131.0,-20.0
132.0,-20.0
133.0,-20.0
134.0,-20.0
135.0,-20.0
136.0,-20.0
137.0,-20.0
138.0,-20.0
138.99999999999997,-20.0
140.0,-20.0
141.0,-20.0
142.0,-20.0
143.0,-20.0
144.0,-20.0
145.0,-20.0
146.0,-20.0
147.0,-20.0
148.0,-20.0
149.0,-20.0
150.0,-20.0
151.0,-20.0
152.0,-20.0
153.0,-20.0
153.99999999999997,-20.0
155.0,-20.0
156.0,-20.0
157.0,-20.0
158.0,-20.0
159.0,-20.0
160.0,-20.0
161.0,-20.0
162.0,-20.0
163.0,-20.0
164.0,-20.0
165.0,-20.0
166.0,-20.0
167.0,-20.0
168.0,-20.0
168.99999999999997,-20.0
170.0,-20.0
171.0,-20.0
172.0,-20.0
173.0,-20.0
174.0,-20.0
175.0,-20.0
176.0,-20.0
177.0,-20.0
178.0,-20.0
179.0,-20.0
180.0,-20.0
181.0,-20.0
182.0,-20.0
183.0,-20.0
183.99999999999997,-20.0
185.0,-20.0
186.0,-20.0
187.0,-20.0
188.0,-20.0
189.0,-20.0
190.0,-20.0
191.0,-20.0
192.0,-20.0
193.0,-20.0
194.0,-20.0
195.0,-20.0
196.0,-20.0
197.0,-20.0
198.0,-20.0
198.99999999999997,-20.0
200.0,-20.0
201.0,-20.0
202.0,-20.0
203.0,-20.0
204.0,-20.0
205.0,-20.0
206.0,-20.0
206.99999999999997,-20.0
208.0,-20.0
209.0,-20.0
210.0,-20.0
211.0,-20.0
212.0,-20.0
213.0,-20.0
213.99999999999997,-20.0
215.0,-20.0
216.0,-20.0
217.0,-20.0
218.0,-20.0
219.0,-20.0
220.0,-20.0
221.0,-20.0
221.99999999999997,-20.0
223.0,-20.0
224.0,-20.0
225.0,-20.0
226.0,-20.0
227.0,-20.0
228.0,-20.0
228.99999999999997,-20.0
230.0,-20.0
231.0,-20.0
232.0,-20.0
232.99999999999997,-20.0
234.00000000000003,-20.0
235.00000000000003,-20.0
236.0,-20.0
237.0,-20.0
238.0,-20.0
239.0,-20.0
240.0,-20.0
241.0,-20.0
242.0,-20.0
243.0,-20.0
243.99999999999997,-20.0
244.99999999999997,-20.0
245.99999999999997,-20.0
246.99999999999997,-20.0
247.99999999999997,-20.0
249.00000000000003,-20.0
250.00000000000003,-20.0
251.0,-20.0
252.0,-20.0
253.0,-20.0
254.0,-20.0
255.0,-20.0
256.0,-20.0
257.0,-20.0
258.0,-20.0
259.0,-20.0
260.0,-20.0
261.0,-20.0
262.0,-20.0
262.99999999999994,-20.0
264.0,-20.0
265.0,-20.0
266.0,-20.0
267.0,-20.0
268.0,-20.0
269.0,-20.0
270.0,-20.0
271.0,-20.0
272.0,-20.0
273.0,-20.0
274.0,-20.0
275.0,-20.0
276.0,-20.0
277.0,-20.0
277.99999999999994,-20.0
279.0,-20.0
280.0,-20.0
281.0,-20.0
282.0,-20.0
283.0,-20.0
284.0,-20.0
285.0,-20.0
286.0,-20.0
287.0,-20.0
288.0,-20.0
289.0,-20.0
290.0,-20.0
291.0,-20.0
292.0,-20.0
292.99999999999994,-20.0
294.0,-20.0
295.0,-20.0
296.0,-20.0
297.0,-20.0
298.0,-20.0
299.0,-20.0
300.0,-20.0
301.0,-20.0
302.0,-20.0
303.0,-20.0
304.0,-20.0
305.0,-20.0
306.0,-20.0
307.0,-20.0
307.99999999999994,-20.0
309.0,-20.0
310.0,-20.0
311.0,-20.0
312.0,-20.0
313.0,-20.0
314.0,-20.0
315.0,-20.0
316.0,-20.0
317.0,-20.0
318.0,-20.0
319.0,-20.0
320.0,-20.0
321.0,-20.0
322.0,-20.0
322.99999999999994,-20.0
324.0,-20.0
325.0,-20.0
326.0,-20.0
327.0,-20.0
328.0,-20.0
329.0,-20.0
330.0,-20.0
331.0,-20.0
332.0,-20.0
333.0,-20.0
334.0,-20.0
335.0,-20.0
336.0,-20.0
337.0,-20.0
337.99999999999994,-20.0
339.0,-20.0
340.0,-20.0
341.0,-20.0
342.0,-20.0
343.0,-20.0
344.0,-20.0
345.0,-20.0
346.0,-20.0
347.0,-20.0
348.0,-20.0
349.0,-20.0
350.0,-20.0
351.0,-20.0
352.0,-20.0
352.99999999999994,-20.0
354.0,-20.0
355.0,-20.0
356.0,-20.0
357.0,-20.0
358.0,-20.0
359.0,-20.0
360.0,-20.0
361.0,-20.0
362.0,-20.0
363.0,-20.0
364.0,-20.0
365.0,-20.0
366.0,-20.0
367.0,-20.0
367.99999999999994,-20.0
369.0,-20.0
370.0,-20.0
371.0,-20.0
372.0,-20.0
373.0,-20.0
374.0,-20.0
375.0,-20.0
376.0,-20.0
377.0,-20.0
378.0,-20.0
379.0,-20.0
380.0,-20.0
381.0,-20.0
382.0,-20.0
382.99999999999994,-20.0
384.0,-20.0
385.0,-20.0
386.0,-20.0
387.0,-20.0
388.0,-20.0
389.0,-20.0
390.0,-20.0
391.0,-20.0
392.0,-20.0
393.0,-20.0
394.0,-20.0
395.0,-20.0
396.0,-20.0
397.0,-20.0
397.99999999999994,-20.0
398.99999999999994,-20.0
400.0,-20.0
401.0,-20.0
402.0,-20.0
403.0,-20.0
404.0,-20.0
405.0,-20.0
406.0,-20.0
407.0,-20.0
408.0,-20.0
409.0,-20.0
410.0,-20.0
411.0,-20.0
412.0,-20.0
412.99999999999994,-20.0
413.99999999999994,-20.0
415.0,-20.0
416.0,-20.0
417.0,-20.0
418.0,-20.0
419.0,-20.0
420.0,-20.0
421.0,-20.0
422.0,-20.0
423.0,-20.0
424.0,-20.0
425.0,-20.0
426.0,-20.0
427.0,-20.0
427.99999999999994,-20.0
428.99999999999994,-20.0
430.0,-20.0
431.0,-20.0
432.0,-20.0
433.0,-20.0
434.0,-20.0
435.0,-20.0
436.0,-20.0
437.0,-20.0
438.0,-20.0
439.0,-20.0
440.0,-20.0
441.0,-20.0
442.0,-20.0
442.99999999999994,-20.0
443.99999999999994,-20.0
445.0,-20.0
446.0,-20.0
447.0,-20.0
448.0,-20.0
449.0,-20.0
450.0,-20.0
451.0,-20.0
452.0,-20.0
453.0,-20.0
454.0,-20.0
455.0,-20.0
456.0,-20.0
457.0,-20.0
457.99999999999994,-20.0
458.99999999999994,-20.0
460.0,-20.0
461.0,-20.0
462.0,-20.0
463.0,-20.0
464.0,-20.0
465.0,-20.0
465.99999999999994,-20.0
467.00000000000006,-20.0
468.00000000000006,-20.0
469.00000000000006,-20.0
470.00000000000006,-20.0
471.0,-20.0
472.0,-20.0
473.0,-20.0
474.0,-20.0
475.0,-20.0
476.0,-20.0
477.0,-20.0
478.0,-20.0
479.0,-20.0
480.0,-20.0
481.0,-20.0
482.0,-20.0
483.0,-20.0
484.0,-20.0
485.0,-20.0
486.0,-20.0
487.0,-20.0
487.99999999999994,-20.0
488.99999999999994,-20.0
489.99999999999994,-20.0
490.99999999999994,-20.0
491.99999999999994,-20.0
492.99999999999994,-20.0
493.99999999999994,-20.0
494.99999999999994,-20.0
495.99999999999994,-20.0
497.00000000000006,-20.0
498.00000000000006,-20.0
499.00000000000006,-20.0
500.00000000000006,-20.0
501.0,-20.0
502.0,-20.0
503.0,-20.0
504.0,-20.0
505.0,-20.0
506.0,-20.0
507.0,-20.0
508.0,-20.0
509.0,-20.0
510.0,-20.0
511.0,-20.0
512.0,-20.0
513.0,-20.0
514.0,-20.0
515.0,-20.0
516.0,-20.0
517.0,-20.0
518.0,-20.0
519.0,-20.0
520.0,-20.0
521.0,-20.0
522.0,-20.0
523.0,-20.0
524.0,-20.0
525.0,-20.0
525.9999999999999,-20.0
526.9999999999999,-20.0
528.0,-20.0
529.0,-20.0
530.0,-20.0
531.0,-20.0
532.0,-20.0
533.0,-20.0
534.0,-20.0
535.0,-20.0
536.0,-20.0
537.0,-20.0
538.0,-20.0
539.0,-20.0
540.0,-20.0
541.0,-20.0
542.0,-20.0
543.0,-20.0
544.0,-20.0
545.0,-20.0
546.0,-20.0
547.0,-20.0
548.0,-20.0
549.0,-20.0
550.0,-20.0
551.0,-20.0
552.0,-20.0
553.0,-20.0
554.0,-20.0
555.0,-20.0
555.9999999999999,-20.0
556.9999999999999,-20.0
558.0,-20.0
559.0,-20.0
560.0,-20.0
561.0,-20.0
562.0,-20.0
563.0,-20.0
564.0,-20.0
565.0,-20.0
566.0,-20.0
567.0,-20.0
568.0,-20.0
569.0,-20.0
570.0,-20.0
571.0,-20.0
572.0,-20.0
573.0,-20.0
574.0,-20.0
575.0,-20.0
576.0,-20.0
577.0,-20.0
578.0,-20.0
579.0,-20.0
580.0,-20.0
581.0,-20.0
582.0,-20.0
583.0,-20.0
584.0,-20.0
585.0,-20.0
585.9999999999999,-20.0
586.9999999999999,-20.0
588.0,-20.0
589.0,-20.0
590.0,-20.0
591.0,-20.0
592.0,-20.0
593.0,-20.0
594.0,-20.0
595.0,-20.0
596.0,-20.0
597.0,-20.0
598.0,-20.0
599.0,-20.0
600.0,-20.0
601.0,-20.0
602.0,-20.0
603.0,-20.0
604.0,-20.0
605.0,-20.0
606.0,-20.0
607.0,-20.0
608.0,-20.0
609.0,-20.0
610.0,-20.0
611.0,-20.0
612.0,-20.0
613.0,-20.0
614.0,-20.0
615.0,-20.0
615.9999999999999,-20.0
616.9999999999999,-20.0
618.0,-20.0
619.0,-20.0
620.0,-20.0
621.0,-20.0
622.0,-20.0
623.0,-20.0
624.0,-20.0
625.0,-20.0
626.0,-20.0
627.0,-20.0
628.0,-20.0
629.0,-20.0
630.0,-20.0
631.0,-20.0
632.0,-20.0
633.0,-20.0
634.0,-20.0
635.0,-20.0
636.0,-20.0
637.0,-20.0
638.0,-20.0
639.0,-20.0
640.0,-20.0
641.0,-20.0
642.0,-20.0
643.0,-20.0
644.0,-20.0
645.0,-20.0
645.9999999999999,-20.0
646.9999999999999,-20.0
648.0,-20.0
649.0,-20.0
650.0,-20.0
651.0,-20.0
652.0,-20.0
653.0,-20.0
654.0,-20.0
655.0,-20.0
656.0,-20.0
657.0,-20.0
658.0,-20.0
659.0,-20.0
660.0,-20.0
661.0,-20.0
662.0,-20.0
663.0,-20.0
664.0,-20.0
665.0,-20.0
666.0,-20.0
667.0,-20.0
668.0,-20.0
669.0,-20.0
670.0,-20.0
671.0,-20.0
672.0,-20.0
673.0,-20.0
674.0,-20.0
675.0,-20.0
675.9999999999999,-20.0
676.9999999999999,-20.0
678.0,-20.0
679.0,-20.0
680.0,-20.0
681.0,-20.0
682.0,-20.0
683.0,-20.0
684.0,-20.0
685.0,-20.0
686.0,-20.0
687.0,-20.0
688.0,-20.0
689.0,-20.0
690.0,-20.0
691.0,-20.0
692.0,-20.0
693.0,-20.0
694.0,-20.0
695.0,-20.0
696.0,-20.0
697.0,-20.0
698.0,-20.0
699.0,-20.0
700.0,-20.0
701.0,-20.0
702.0,-20.0
703.0,-20.0
704.0,-20.0
705.0,-20.0
705.9999999999999,-20.0
706.9999999999999,-20.0
